problem_id,similar_problem_id,similarity_score,rank,domain,subtopic,difficulty_label,similar_domain,similar_subtopic,similar_difficulty_label
MATHNET-01t8,MATHNET-09ka,1.0,3,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-01t8,MATHNET-0dgr,1.0,2,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-01t8,MATHNET-0dgx,1.0,1,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-02c0,MATHNET-0anv,1.0,3,Algebra,Prealgebra / Basic Algebra,Easy,Algebra,Algebraic Expressions,Easy
MATHNET-02c0,MATHNET-02cu,1.0,2,Algebra,Prealgebra / Basic Algebra,Easy,Algebra,Prealgebra / Basic Algebra,Easy
MATHNET-02c0,MATHNET-0kn4,1.0,1,Algebra,Prealgebra / Basic Algebra,Easy,Algebra,Prealgebra / Basic Algebra,Easy
MATHNET-0au5,MATHNET-0anq,1.0,10,Algebra,Intermediate Algebra,Easy,Algebra,Equations and Inequalities | Intermediate Algebra,Easy
MATHNET-0au5,MATHNET-000t,1.0,9,Algebra,Intermediate Algebra,Easy,Algebra,Prealgebra / Basic Algebra,Easy
MATHNET-0au5,MATHNET-0gm2,1.0,8,Algebra,Intermediate Algebra,Easy,Algebra,Algebraic Expressions,Easy
MATHNET-0au5,MATHNET-04ch,1.0,6,Algebra,Intermediate Algebra,Easy,Algebra,Algebraic Expressions,Easy
MATHNET-0au5,MATHNET-0br0,1.0,5,Algebra,Intermediate Algebra,Easy,Algebra,Abstract Algebra,Easy
MATHNET-0au5,MATHNET-0lad,1.0,4,Algebra,Intermediate Algebra,Easy,Algebra,Equations and Inequalities,Easy
MATHNET-0au5,MATHNET-0490,1.0,3,Algebra,Intermediate Algebra,Easy,Algebra,Equations and Inequalities | Intermediate Algebra,Easy
MATHNET-0au5,MATHNET-0ar9,1.0,2,Algebra,Intermediate Algebra,Easy,Algebra,Algebraic Expressions,Easy
MATHNET-0au5,MATHNET-04st,1.0,1,Algebra,Intermediate Algebra,Easy,Algebra,Algebraic Expressions | Equations and Inequalities,Easy
MATHNET-0a32,MATHNET-0anq,1.0,10,Algebra,Algebraic Expressions,Easy,Algebra,Equations and Inequalities | Intermediate Algebra,Easy
MATHNET-0a32,MATHNET-000t,1.0,9,Algebra,Algebraic Expressions,Easy,Algebra,Prealgebra / Basic Algebra,Easy
MATHNET-0a32,MATHNET-0gm2,1.0,8,Algebra,Algebraic Expressions,Easy,Algebra,Algebraic Expressions,Easy
MATHNET-0a32,MATHNET-0au5,1.0,7,Algebra,Algebraic Expressions,Easy,Algebra,Intermediate Algebra,Easy
MATHNET-0a32,MATHNET-04ch,1.0,6,Algebra,Algebraic Expressions,Easy,Algebra,Algebraic Expressions,Easy
MATHNET-0a32,MATHNET-0490,1.0,3,Algebra,Algebraic Expressions,Easy,Algebra,Equations and Inequalities | Intermediate Algebra,Easy
MATHNET-0a32,MATHNET-0ar9,1.0,2,Algebra,Algebraic Expressions,Easy,Algebra,Algebraic Expressions,Easy
MATHNET-0a32,MATHNET-04st,1.0,1,Algebra,Algebraic Expressions,Easy,Algebra,Algebraic Expressions | Equations and Inequalities,Easy
MATHNET-0fg6,MATHNET-09k0,1.0,4,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-0fg6,MATHNET-09ka,1.0,3,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-0fg6,MATHNET-0cie,1.0,2,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-0fg6,MATHNET-01nc,1.0,1,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-04up,MATHNET-0dd1,1.0,8,Discrete Mathematics,Combinatorics,Easy,Discrete Mathematics,Combinatorics,Easy
MATHNET-04up,MATHNET-04iq,1.0,7,Discrete Mathematics,Combinatorics,Easy,Discrete Mathematics,Combinatorics,Easy
MATHNET-04up,MATHNET-0f9f,1.0,6,Discrete Mathematics,Combinatorics,Easy,Discrete Mathematics,Combinatorics | Graph Theory,Easy
MATHNET-04up,MATHNET-0gme,1.0,5,Discrete Mathematics,Combinatorics,Easy,Discrete Mathematics,Combinatorics,Easy
MATHNET-04up,MATHNET-001e,1.0,4,Discrete Mathematics,Combinatorics,Easy,Discrete Mathematics,Combinatorics,Easy
MATHNET-04up,MATHNET-0eyj,1.0,3,Discrete Mathematics,Combinatorics,Easy,Discrete Mathematics,Graph Theory,Easy
MATHNET-04up,MATHNET-0f78,1.0,2,Discrete Mathematics,Combinatorics,Easy,Discrete Mathematics,Combinatorics | Graph Theory,Easy
MATHNET-04up,MATHNET-04hy,1.0,1,Discrete Mathematics,Combinatorics,Easy,Discrete Mathematics,Combinatorics,Easy
MATHNET-0au5,MATHNET-0a32,1.0,7,Algebra,Intermediate Algebra,Easy,Algebra,Algebraic Expressions,Easy
MATHNET-09u9,MATHNET-0anq,1.0,10,Algebra,Prealgebra / Basic Algebra,Easy,Algebra,Equations and Inequalities | Intermediate Algebra,Easy
MATHNET-09u9,MATHNET-0br0,1.0,9,Algebra,Prealgebra / Basic Algebra,Easy,Algebra,Abstract Algebra,Easy
MATHNET-09u9,MATHNET-0gm2,1.0,8,Algebra,Prealgebra / Basic Algebra,Easy,Algebra,Algebraic Expressions,Easy
MATHNET-09u9,MATHNET-0a32,1.0,7,Algebra,Prealgebra / Basic Algebra,Easy,Algebra,Algebraic Expressions,Easy
MATHNET-09u9,MATHNET-0au5,1.0,6,Algebra,Prealgebra / Basic Algebra,Easy,Algebra,Intermediate Algebra,Easy
MATHNET-09u9,MATHNET-04ch,1.0,5,Algebra,Prealgebra / Basic Algebra,Easy,Algebra,Algebraic Expressions,Easy
MATHNET-09u9,MATHNET-0lad,1.0,4,Algebra,Prealgebra / Basic Algebra,Easy,Algebra,Equations and Inequalities,Easy
MATHNET-09u9,MATHNET-0490,1.0,3,Algebra,Prealgebra / Basic Algebra,Easy,Algebra,Equations and Inequalities | Intermediate Algebra,Easy
MATHNET-09u9,MATHNET-0ar9,1.0,2,Algebra,Prealgebra / Basic Algebra,Easy,Algebra,Algebraic Expressions,Easy
MATHNET-09u9,MATHNET-04st,1.0,1,Algebra,Prealgebra / Basic Algebra,Easy,Algebra,Algebraic Expressions | Equations and Inequalities,Easy
MATHNET-0khx,MATHNET-09zj,1.0,1,Discrete Mathematics,Combinatorics | Graph Theory,Easy,Discrete Mathematics,Combinatorics,Easy
MATHNET-001e,MATHNET-0f9f,1.0,6,Discrete Mathematics,Combinatorics,Easy,Discrete Mathematics,Combinatorics | Graph Theory,Easy
MATHNET-001e,MATHNET-0dd1,1.0,5,Discrete Mathematics,Combinatorics,Easy,Discrete Mathematics,Combinatorics,Easy
MATHNET-001e,MATHNET-0eyj,1.0,4,Discrete Mathematics,Combinatorics,Easy,Discrete Mathematics,Graph Theory,Easy
MATHNET-0eyx,MATHNET-0f03,1.0,6,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-0eyx,MATHNET-01t8,1.0,5,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-0eyx,MATHNET-09jr,1.0,4,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-0eyx,MATHNET-0gg9,1.0,3,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-0eyx,MATHNET-09k0,1.0,2,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-0eyx,MATHNET-0dgx,1.0,1,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-0c1x,MATHNET-09k0,1.0,2,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-0c1x,MATHNET-0dgx,1.0,1,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-0atv,MATHNET-0lad,1.0,10,Algebra,Equations and Inequalities | Intermediate Algebra,Easy,Algebra,Equations and Inequalities,Easy
MATHNET-0atv,MATHNET-0br0,1.0,9,Algebra,Equations and Inequalities | Intermediate Algebra,Easy,Algebra,Abstract Algebra,Easy
MATHNET-0atv,MATHNET-0anq,1.0,8,Algebra,Equations and Inequalities | Intermediate Algebra,Easy,Algebra,Equations and Inequalities | Intermediate Algebra,Easy
MATHNET-0atv,MATHNET-09u9,1.0,7,Algebra,Equations and Inequalities | Intermediate Algebra,Easy,Algebra,Prealgebra / Basic Algebra,Easy
MATHNET-0dgr,MATHNET-0fg6,1.0,1,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-08ic,MATHNET-008t,1.0,10,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-08ic,MATHNET-0c4k,1.0,9,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-08ic,MATHNET-04dz,1.0,8,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-08ic,MATHNET-00cj,1.0,7,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-08ic,MATHNET-0atn,1.0,6,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-08ic,MATHNET-0c9x,1.0,5,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-08ic,MATHNET-004m,1.0,4,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-08ic,MATHNET-0bqa,1.0,3,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-08ic,MATHNET-049x,1.0,2,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-08ic,MATHNET-0041,1.0,1,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-0gfg,MATHNET-0bdr,1.0,10,Algebra,Algebraic Expressions | Equations and Inequalities,Easy,Algebra,Algebraic Expressions | Intermediate Algebra,Easy
MATHNET-0gfg,MATHNET-0gfd,1.0,9,Algebra,Algebraic Expressions | Equations and Inequalities,Easy,Algebra,Equations and Inequalities,Easy
MATHNET-0gfg,MATHNET-0caz,1.0,8,Algebra,Algebraic Expressions | Equations and Inequalities,Easy,Algebra,Algebraic Expressions,Easy
MATHNET-0dgr,MATHNET-09ka,1.0,10,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-0dgr,MATHNET-0cie,1.0,9,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-0dgr,MATHNET-01t8,1.0,8,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-0dgr,MATHNET-0c9v,1.0,7,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-0dgr,MATHNET-04uw,1.0,6,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-0dgr,MATHNET-0gg9,1.0,5,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-0dgr,MATHNET-09k0,1.0,4,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-0dgr,MATHNET-0f03,1.0,3,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-0dgr,MATHNET-01nc,1.0,2,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-004m,MATHNET-008t,1.0,10,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-004m,MATHNET-0c4k,1.0,9,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-004m,MATHNET-04dz,1.0,8,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-004m,MATHNET-00cj,1.0,7,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-004m,MATHNET-0atn,1.0,6,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-0gfg,MATHNET-0bl4,1.0,7,Algebra,Algebraic Expressions | Equations and Inequalities,Easy,Algebra,Equations and Inequalities,Easy
MATHNET-0gfg,MATHNET-0002,1.0,6,Algebra,Algebraic Expressions | Equations and Inequalities,Easy,Algebra,Algebraic Expressions,Easy
MATHNET-0gfg,MATHNET-0beo,1.0,5,Algebra,Algebraic Expressions | Equations and Inequalities,Easy,Algebra,Algebraic Expressions,Easy
MATHNET-0gfg,MATHNET-0bpv,1.0,4,Algebra,Algebraic Expressions | Equations and Inequalities,Easy,Algebra,Equations and Inequalities,Easy
MATHNET-0gfg,MATHNET-0c4x,1.0,3,Algebra,Algebraic Expressions | Equations and Inequalities,Easy,Algebra,Linear Algebra,Easy
MATHNET-0gfg,MATHNET-0l7k,1.0,2,Algebra,Algebraic Expressions | Equations and Inequalities,Easy,Algebra,Algebraic Expressions,Easy
MATHNET-0gfg,MATHNET-0bw4,1.0,1,Algebra,Algebraic Expressions | Equations and Inequalities,Easy,Algebra,Equations and Inequalities,Easy
MATHNET-04st,MATHNET-0atv,1.0,10,Algebra,Algebraic Expressions | Equations and Inequalities,Easy,Algebra,Equations and Inequalities | Intermediate Algebra,Easy
MATHNET-04st,MATHNET-000t,1.0,9,Algebra,Algebraic Expressions | Equations and Inequalities,Easy,Algebra,Prealgebra / Basic Algebra,Easy
MATHNET-0atv,MATHNET-000t,1.0,6,Algebra,Equations and Inequalities | Intermediate Algebra,Easy,Algebra,Prealgebra / Basic Algebra,Easy
MATHNET-0atv,MATHNET-0au5,1.0,5,Algebra,Equations and Inequalities | Intermediate Algebra,Easy,Algebra,Intermediate Algebra,Easy
MATHNET-0atv,MATHNET-0ar9,1.0,4,Algebra,Equations and Inequalities | Intermediate Algebra,Easy,Algebra,Algebraic Expressions,Easy
MATHNET-0atv,MATHNET-0a32,1.0,3,Algebra,Equations and Inequalities | Intermediate Algebra,Easy,Algebra,Algebraic Expressions,Easy
MATHNET-04uw,MATHNET-0gg9,1.0,10,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-04uw,MATHNET-09ka,1.0,9,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-04uw,MATHNET-0cie,1.0,8,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-04uw,MATHNET-0dgr,1.0,7,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-04uw,MATHNET-0f03,1.0,6,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-04uw,MATHNET-01t8,1.0,5,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-04uw,MATHNET-09jr,1.0,4,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-04uw,MATHNET-0c9v,1.0,3,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-0atv,MATHNET-04ch,1.0,2,Algebra,Equations and Inequalities | Intermediate Algebra,Easy,Algebra,Algebraic Expressions,Easy
MATHNET-0atv,MATHNET-04st,1.0,1,Algebra,Equations and Inequalities | Intermediate Algebra,Easy,Algebra,Algebraic Expressions | Equations and Inequalities,Easy
MATHNET-004m,MATHNET-0bqa,1.0,3,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-004m,MATHNET-049x,1.0,2,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-004m,MATHNET-0041,1.0,1,Geometry,Plane Geometry,Easy,Geometry,Plane Geometry,Easy
MATHNET-0002,MATHNET-0c4x,1.0,4,Algebra,Algebraic Expressions,Easy,Algebra,Linear Algebra,Easy
MATHNET-0002,MATHNET-0bpv,1.0,3,Algebra,Algebraic Expressions,Easy,Algebra,Equations and Inequalities,Easy
MATHNET-0002,MATHNET-0beo,1.0,2,Algebra,Algebraic Expressions,Easy,Algebra,Algebraic Expressions,Easy
MATHNET-0002,MATHNET-0bw4,1.0,1,Algebra,Algebraic Expressions,Easy,Algebra,Equations and Inequalities,Easy
MATHNET-04st,MATHNET-0gm2,1.0,8,Algebra,Algebraic Expressions | Equations and Inequalities,Easy,Algebra,Algebraic Expressions,Easy
MATHNET-04st,MATHNET-0a32,1.0,7,Algebra,Algebraic Expressions | Equations and Inequalities,Easy,Algebra,Algebraic Expressions,Easy
MATHNET-04st,MATHNET-0au5,1.0,6,Algebra,Algebraic Expressions | Equations and Inequalities,Easy,Algebra,Intermediate Algebra,Easy
MATHNET-04st,MATHNET-04ch,1.0,5,Algebra,Algebraic Expressions | Equations and Inequalities,Easy,Algebra,Algebraic Expressions,Easy
MATHNET-04st,MATHNET-0lad,1.0,4,Algebra,Algebraic Expressions | Equations and Inequalities,Easy,Algebra,Equations and Inequalities,Easy
