problem_id,country,domain,subtopic,difficulty,difficulty_source,concepts,prerequisites,solution_depth,estimated_time_minutes,proof_required,reasoning_intensity,calculation_intensity,major_steps,problem_type,language,data_type,problem_text,final_answer,solution_length,solution_words,solution_paragraphs,equation_count,reasoning_indicators,proof_indicators,case_analysis,calculation_indicators,solution_major_steps,solution_available,equation_density,reasoning_density,proof_density,log_solution_length,log_equation_count,length_score,equation_score,reasoning_score,proof_score,case_score,steps_score,problem_type_score,domain_score,solution_availability_score,difficulty_score,difficulty_label,student_skill,recommendation_skill,weakness_priority,weakness_classification,weakness_confidence,skill_unknown,difficulty_gap,difficulty_fit,adaptive_score,training_zone,target_domain,title,competition,year,problem_number,section,metadata_status,match_score,source,source_url
MATHNET-0cwp,Russia,Discrete Mathematics | Geometry,Combinatorics | Solid Geometry,4,unknown,"Coloring schemes, extremal arguments | Counting two ways | 3D Shapes",,,,True,,,,proof and answer,Russian,real,Let $N$ be a positive integer. A cube $(2N+1) \times (2N+1) \times (2N+1)$ is made of $(2N+1)^3$ unit cubes; each unit cube is either black or white. It turned out that among any 8 unit cubes which form a cube $2 \times 2 \times 2$ the number of black unit cubes is not greater than 4. Find the greatest possible total number of black unit cubes.,(N+1)^2(4N+1),2619,475,10,45,1,2,8,2,10,1,0.0947368421052631,0.0021052631578947,0.0042105263157894,7.8709295967551425,3.828641396489095,85.0,77.64999999999999,47.8,83.85000000000001,96.65,89.64999999999999,90,80.0,100,77.915,Hard,72.0,72.0,8.52,LOW,0.1,False,5.915000000000006,49.83000000000001,25.04,True,Geometry,LI Всероссийская математическая олимпиада школьников,LI Всероссийская математическая олимпиада школьников,,,,COMPETITION_ONLY,,MathNet,
MATHNET-06xr,IMO,Geometry,Plane Geometry,4,unknown,"Quadrilaterals > Cyclic quadrilaterals | Circles > Tangents | Transformations > Spiral similarity | Advanced Configurations > Polar triangles, harmonic conjugates | Miscellaneous > Angle chasing | Triangles > Triangle centers: centroid, incenter, circumcenter, orthocenter, Euler line, nine-point circle",,,,True,,,,proof only,,real,"Let $ABC$ be an acute-angled triangle with $AB < AC$. Denote its circumcircle by $\Omega$ and denote the midpoint of $\operatorname{arc} CAB$ by $S$. Let the perpendicular from $A$ to $BC$ meet $BS$ and $\Omega$ at $D$ and $E \neq A$ respectively. Let the line through $D$ parallel to $BC$ meet line $BE$ at $L$ and denote the circumcircle of triangle $BDL$ by $\omega$. Let $\omega$ meet $\Omega$ again at $P \neq B$.
Prove that the line tangent to $\omega$ at $P$, and line $BS$ intersect on the internal bisector of $\angle BAC$.",,4776,868,12,168,7,0,0,0,12,1,0.1935483870967742,0.0080645161290322,0.0,8.471568013389962,5.1298987149230735,95.3,98.1,90.4,34.2,32.800000000000004,92.45,100,78.0,100,78.41000000000001,Hard,72.0,72.0,8.52,LOW,0.1,False,6.410000000000011,49.17999999999998,24.78,True,Geometry,International Mathematical Olympiad Shortlist,International Mathematical Olympiad Shortlist,,,,COMPETITION_ONLY,,MathNet,
MATHNET-0b7n,Romania,Geometry,Plane Geometry,4,unknown,"Combinatorial Geometry | Triangles > Triangle centers: centroid, incenter, circumcenter, orthocenter, Euler line, nine-point circle | Geometric Inequalities > Optimization in geometry",,,,True,,,,proof and answer,English,real,"Let $\mathcal{L}$ be a finite collection of lines in the plane in general position (no two lines in $\mathcal{L}$ are parallel and no three are concurrent). Consider the open circular discs inscribed in the triangles enclosed by each triple of lines in $\mathcal{L}$. Determine the number of such discs intersected by no line in $\mathcal{L}$, in terms of $|\mathcal{L}|$.","C(|L|-1, 2)",2796,480,3,70,2,5,2,0,3,1,0.1458333333333333,0.0041666666666666,0.0104166666666666,7.936302693201959,4.262679877041316,86.3,88.8,62.2,94.9,78.8,51.45,90,78.0,100,78.67999999999999,Hard,72.0,72.0,8.52,LOW,0.1,False,6.679999999999993,48.640000000000015,24.57,True,Geometry,NMO Selection Tests for the Balkan and International Mathematical Olympiads,NMO Selection Tests for the Balkan and International Mathematical Olympiads,,,,COMPETITION_ONLY,,MathNet,
MATHNET-0lfz,Zhautykov Olympiad,Geometry,Plane Geometry,4,unknown,"Advanced Configurations > Isogonal/isotomic conjugates, barycentric coordinates | Circles > Circle of Apollonius | Miscellaneous > Angle chasing",,,,True,,,,proof only,,real,"Problem:

Inside the triangle $A B C$ a point $M$ is given. The line $B M$ meets the side $A C$ at $N$. The point $K$ is symmetrical to $M$ with respect to $A C$. The line $B K$ meets $A C$ at $P$. If $\angle A M P=\angle C M N$, prove that $\angle A B P=\angle C B N$.

![](attached_image_1.png)",,1762,345,9,49,5,2,0,0,9,1,0.1420289855072463,0.0144927536231884,0.0057971014492753,7.47477218239787,3.912023005428146,73.35000000000001,80.30000000000001,85.45,83.85000000000001,32.800000000000004,87.5,100,78.0,100,77.31250000000001,Hard,72.0,72.0,8.52,LOW,0.1,False,5.312500000000014,48.62500000000003,24.56,True,Geometry,XI International Zhautykov Olympiad in Sciences,XI International Zhautykov Olympiad in Sciences,,,,COMPETITION_ONLY,,MathNet,
MATHNET-00up,Balkan Mathematical Olympiad,Geometry,Plane Geometry,4,unknown,"Quadrilaterals > Cyclic quadrilaterals | Advanced Configurations > Simson line | Advanced Configurations > Miquel point | Circles > Radical axis theorem | Advanced Configurations > Polar triangles, harmonic conjugates | Miscellaneous > Angle chasing | Triangles > Triangle centers: centroid, incenter, circumcenter, orthocenter, Euler line, nine-point circle",,,,True,,,,proof only,,real,"Let $ABC$ be a triangle with circumcenter $O$. Point $X$ is the intersection of the parallel line from $O$ to $AB$ with the perpendicular line to $AC$ from $C$. Let $Y$ be the point where the external bisector of $\angle BXC$ intersects with $AC$. Let $K$ be the projection of $X$ onto $BY$.
Prove that the lines $AK$, $XO$, $BC$ have a common point.",,2226,408,4,64,4,3,0,0,4,1,0.1568627450980392,0.0098039215686274,0.0073529411764705,7.708410667257367,4.174387269895637,80.7,86.75,80.25,89.25,32.800000000000004,62.5,100,78.0,100,77.02000000000001,Hard,72.0,72.0,8.52,LOW,0.1,False,5.02000000000001,48.04000000000002,24.33,True,Geometry,BMO Short List 2023,BMO Short List,2023.0,,,YEAR_ONLY,,MathNet,
MATHNET-06op,IMO,Algebra | Discrete Mathematics | Geometry,Graph Theory | Linear Algebra | Solid Geometry,5,unknown,Other 3D problems | Euler characteristic: V-E+F | Vectors,,,,True,,,,proof and answer,English,real,"Consider a convex polyhedron without parallel edges and without an edge parallel to any face other than the two faces adjacent to it.
Call a pair of points of the polyhedron antipodal if there exist two parallel planes passing through these points and such that the polyhedron is contained between these planes.
Let $A$ be the number of antipodal pairs of vertices, and let $B$ be the number of antipodal pairs of midpoints of edges. Determine the difference $A-B$ in terms of the numbers of vertices, edges and faces.",A - B = m - ℓ + 1 = n - 1,15438,2349,22,372,22,17,28,5,20,1,0.1583652618135377,0.009365687526607,0.0072371221796509,9.644652054641927,5.921578419643816,99.8,99.7,99.4,99.4,100.0,97.8,90,78.33333333333333,100,97.90166666666669,Very Hard,94.0,94.0,0.0,NONE,0.1,False,3.901666666666685,45.80333333333337,18.32,True,Algebra,IMO Shortlisted Problems 2006,IMO Shortlisted Problems,2006.0,,,UNMATCHED,0.1935,MathNet,
MATHNET-05e9,European Girls' Mathematical Olympiad (EGMO),Algebra,Algebraic Expressions,5,unknown,"Polynomials > Polynomial operations | Polynomials > Polynomial interpolation: Newton, Lagrange",,,,True,,,,proof and answer,,real,"Problem:
Find all positive integers $d$ for which there exists a degree $d$ polynomial $P$ with real coefficients such that there are at most $d$ different values among $P(0), P(1), \ldots, P\left(d^{2}-d\right)$.","{1, 2, 3}",10472,1545,20,217,17,18,16,4,20,1,0.1404530744336569,0.0110032362459546,0.0116504854368932,9.256555795773146,5.384495062789089,99.0,98.9,98.5,99.5,99.65,97.3,90,75.0,100,97.205,Very Hard,94.0,94.0,0.0,NONE,0.1,False,3.2049999999999983,44.41,17.76,True,Algebra,EGMO 2024,EGMO,2024.0,,,YEAR_ONLY,,MathNet,
MATHNET-06y2,IMO,Algebra,Algebraic Expressions,5,unknown,Functional Equations > Existential quantifiers,,,,True,,,,proof and answer,English,real,"Let $\mathbb{Z}_{>0}$ be the set of all positive integers. Determine all subsets $\mathcal{S}$ of $\left\{2^{0}, 2^{1}, 2^{2}, \ldots\right\}$ for which there exists a function $f: \mathbb{Z}_{>0} \rightarrow \mathbb{Z}_{>0}$ such that
$$
\mathcal{S}=\left\{f(a+b)-f(a)-f(b) \mid a, b \in \mathbb{Z}_{>0}\right\} .
$$","All and only the nonempty subsets of {2^0, 2^1, 2^2, …} with at most two elements. Equivalently, S = {2^k} or S = {2^k, 2^ℓ} for some integers k, ℓ ≥ 0 with k ≠ ℓ.",8004,1171,23,201,13,20,16,0,20,1,0.1716481639624252,0.0111016225448334,0.0170794192997438,8.987821625430815,5.308267697401205,98.6,98.7,97.05,99.6,99.65,98.05,90,75.0,100,96.895,Very Hard,94.0,94.0,0.0,NONE,0.1,False,2.894999999999996,43.78999999999999,17.52,False,Algebra,IMO Shortlisted Problems 2024,IMO Shortlisted Problems,2024.0,,,UNMATCHED,0.4886,MathNet,
MATHNET-06xj,IMO,Algebra | Discrete Mathematics | Geometry,Algebraic Expressions | Combinatorics | Equations and Inequalities | Plane Geometry,5,unknown,Induction / smoothing | Sequences and Series > Floors and ceilings | Miscellaneous > Distance chasing | Transformations > Rotation | Linear and quadratic inequalities,,,,True,,,,proof only,,real,"Let $N$ be a positive integer. Prove that there exist three permutations $a_{1}, a_{2}, \ldots, a_{N}$; $b_{1}, b_{2}, \ldots, b_{N}$; and $c_{1}, c_{2}, \ldots, c_{N}$ of $1,2, \ldots, N$ such that
$$
\left|\sqrt{a_{k}}+\sqrt{b_{k}}+\sqrt{c_{k}}-2 \sqrt{N}\right|<2023
$$
for every $k=1,2, \ldots, N$.",,13612,1744,18,280,9,4,8,4,18,1,0.1605504587155963,0.0051605504587155,0.0022935779816513,9.518780497512472,5.638354669333745,99.4,99.3,93.75,92.65,96.65,96.55,100,78.33333333333333,100,95.65916666666668,Very Hard,94.0,94.0,0.0,NONE,0.1,False,1.6591666666666782,41.31833333333336,16.53,False,Algebra,International Mathematical Olympiad Shortlist,International Mathematical Olympiad Shortlist,,,,COMPETITION_ONLY,,MathNet,
MATHNET-077k,India,Algebra,Algebraic Expressions,5,unknown,Functional Equations > Injectivity / surjectivity | Polynomials > Polynomial operations | Polynomials > Intermediate Value Theorem,,,,True,,,,proof and answer,,real,"Problem:
Let $\mathbb{R}[x]$ be the set of all polynomials with real coefficients, and let $\operatorname{deg} P$ denote the degree of a nonzero polynomial $P$. Find all functions $f: \mathbb{R}[x] \rightarrow \mathbb{R}[x]$ satisfying the following conditions:
- $f$ maps the zero polynomial to itself,
- for any non-zero polynomial $P \in \mathbb{R}[x]$, $\operatorname{deg} f(P) \leq 1+\operatorname{deg} P$, and
- for any two polynomials $P, Q \in \mathbb{R}[x]$, the polynomials $P-f(Q)$ and $Q-f(P)$ have the same set of real roots.","f(p) = p for all polynomials p, or f(p) = -p for all polynomials p",5302,800,12,128,14,11,9,0,12,1,0.16,0.0175,0.01375,8.57602797713713,4.859812404361672,96.2,96.25,97.45,98.55,97.75,92.45,90,75.0,100,95.22,Very Hard,94.0,94.0,0.0,NONE,0.1,False,1.2199999999999989,40.44,16.18,False,Algebra,INMO,INMO,,,,COMPETITION_ONLY,,MathNet,
